station_id,timestamp_utc,value_ugm3,timestamp_local,lat,lon,station_name,city,is_extreme
3409482,2026-01-01 00:30:00+00:00,36.2,2026-01-01 06:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-01 01:30:00+00:00,11.5,2026-01-01 07:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-01 02:30:00+00:00,3.28,2026-01-01 08:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-01 03:30:00+00:00,23.9,2026-01-01 09:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-01 04:30:00+00:00,40.7,2026-01-01 10:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-01 05:30:00+00:00,41.4,2026-01-01 11:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-01 06:30:00+00:00,40.4,2026-01-01 12:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-01 07:30:00+00:00,40.7,2026-01-01 13:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-01 08:30:00+00:00,40.7,2026-01-01 14:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-01 09:30:00+00:00,40.5,2026-01-01 15:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-01 10:30:00+00:00,41.1,2026-01-01 16:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-01 11:30:00+00:00,41.0,2026-01-01 17:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-01 12:30:00+00:00,42.1,2026-01-01 18:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-01 13:30:00+00:00,40.4,2026-01-01 19:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-01 14:30:00+00:00,40.0,2026-01-01 20:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-01 15:30:00+00:00,41.4,2026-01-01 21:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-01 16:30:00+00:00,40.3,2026-01-01 22:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-01 17:30:00+00:00,40.7,2026-01-01 23:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-01 18:30:00+00:00,39.5,2026-01-02 00:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-01 19:30:00+00:00,39.8,2026-01-02 01:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-01 20:30:00+00:00,40.4,2026-01-02 02:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-01 21:30:00+00:00,40.6,2026-01-02 03:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-01 22:30:00+00:00,40.6,2026-01-02 04:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-01 23:30:00+00:00,40.4,2026-01-02 05:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-02 00:30:00+00:00,41.2,2026-01-02 06:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-02 01:30:00+00:00,40.6,2026-01-02 07:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-02 02:30:00+00:00,42.1,2026-01-02 08:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-02 03:30:00+00:00,40.3,2026-01-02 09:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-02 04:30:00+00:00,40.1,2026-01-02 10:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-02 05:30:00+00:00,41.8,2026-01-02 11:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-02 06:30:00+00:00,40.8,2026-01-02 12:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-02 07:30:00+00:00,42.4,2026-01-02 13:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-02 10:30:00+00:00,40.7,2026-01-02 16:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-02 11:30:00+00:00,40.3,2026-01-02 17:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-02 12:30:00+00:00,39.2,2026-01-02 18:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-02 13:30:00+00:00,40.5,2026-01-02 19:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-02 14:30:00+00:00,41.4,2026-01-02 20:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-02 15:30:00+00:00,39.8,2026-01-02 21:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-02 16:30:00+00:00,40.1,2026-01-02 22:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-02 17:30:00+00:00,40.8,2026-01-02 23:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-02 19:30:00+00:00,40.1,2026-01-03 01:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-02 20:30:00+00:00,41.1,2026-01-03 02:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-02 21:30:00+00:00,40.9,2026-01-03 03:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-02 22:30:00+00:00,39.4,2026-01-03 04:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-02 23:30:00+00:00,43.2,2026-01-03 05:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-03 00:30:00+00:00,41.5,2026-01-03 06:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-03 01:30:00+00:00,41.3,2026-01-03 07:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-03 02:30:00+00:00,40.6,2026-01-03 08:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-03 03:30:00+00:00,41.0,2026-01-03 09:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-03 04:30:00+00:00,41.1,2026-01-03 10:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-03 05:30:00+00:00,40.5,2026-01-03 11:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-03 06:30:00+00:00,40.8,2026-01-03 12:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-03 07:30:00+00:00,40.0,2026-01-03 13:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-03 08:30:00+00:00,39.7,2026-01-03 14:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-03 09:30:00+00:00,40.8,2026-01-03 15:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-03 10:30:00+00:00,40.1,2026-01-03 16:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-03 11:30:00+00:00,41.2,2026-01-03 17:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-03 12:30:00+00:00,40.2,2026-01-03 18:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-03 13:30:00+00:00,40.6,2026-01-03 19:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-03 14:30:00+00:00,41.3,2026-01-03 20:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-03 15:30:00+00:00,39.9,2026-01-03 21:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-03 16:30:00+00:00,40.8,2026-01-03 22:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-03 17:30:00+00:00,40.5,2026-01-03 23:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-03 18:30:00+00:00,40.0,2026-01-04 00:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-03 19:30:00+00:00,40.3,2026-01-04 01:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-03 20:30:00+00:00,41.6,2026-01-04 02:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-03 21:30:00+00:00,40.8,2026-01-04 03:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-03 22:30:00+00:00,41.6,2026-01-04 04:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-03 23:30:00+00:00,39.6,2026-01-04 05:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-04 00:30:00+00:00,41.2,2026-01-04 06:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-04 01:30:00+00:00,40.5,2026-01-04 07:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-04 02:30:00+00:00,40.9,2026-01-04 08:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-04 03:30:00+00:00,40.3,2026-01-04 09:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-04 04:30:00+00:00,40.1,2026-01-04 10:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-04 05:30:00+00:00,40.8,2026-01-04 11:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-04 06:30:00+00:00,41.3,2026-01-04 12:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-04 07:30:00+00:00,41.0,2026-01-04 13:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-04 08:30:00+00:00,39.7,2026-01-04 14:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-04 09:30:00+00:00,40.6,2026-01-04 15:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-04 10:30:00+00:00,41.1,2026-01-04 16:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-04 11:30:00+00:00,41.7,2026-01-04 17:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-04 12:30:00+00:00,41.3,2026-01-04 18:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-04 13:30:00+00:00,39.3,2026-01-04 19:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-04 14:30:00+00:00,40.1,2026-01-04 20:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-04 15:30:00+00:00,41.2,2026-01-04 21:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-04 16:30:00+00:00,40.3,2026-01-04 22:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-04 17:30:00+00:00,41.6,2026-01-04 23:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-04 18:30:00+00:00,39.4,2026-01-05 00:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-04 19:30:00+00:00,40.3,2026-01-05 01:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-04 20:30:00+00:00,40.6,2026-01-05 02:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-04 21:30:00+00:00,41.7,2026-01-05 03:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-04 22:30:00+00:00,41.3,2026-01-05 04:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-04 23:30:00+00:00,41.0,2026-01-05 05:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-05 00:30:00+00:00,40.8,2026-01-05 06:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-05 01:30:00+00:00,40.9,2026-01-05 07:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-05 02:30:00+00:00,40.9,2026-01-05 08:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-05 03:30:00+00:00,40.7,2026-01-05 09:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-05 04:30:00+00:00,40.3,2026-01-05 10:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-05 05:30:00+00:00,41.4,2026-01-05 11:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-05 06:30:00+00:00,40.9,2026-01-05 12:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-05 07:30:00+00:00,40.0,2026-01-05 13:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-05 08:30:00+00:00,40.9,2026-01-05 14:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-05 09:30:00+00:00,39.2,2026-01-05 15:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-05 10:30:00+00:00,41.1,2026-01-05 16:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-05 11:30:00+00:00,41.6,2026-01-05 17:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-05 12:30:00+00:00,41.0,2026-01-05 18:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-05 13:30:00+00:00,41.2,2026-01-05 19:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-05 14:30:00+00:00,40.1,2026-01-05 20:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-05 15:30:00+00:00,40.5,2026-01-05 21:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-05 16:30:00+00:00,40.2,2026-01-05 22:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-05 17:30:00+00:00,40.1,2026-01-05 23:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-05 18:30:00+00:00,41.2,2026-01-06 00:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-05 19:30:00+00:00,40.6,2026-01-06 01:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-05 20:30:00+00:00,40.7,2026-01-06 02:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-05 21:30:00+00:00,41.1,2026-01-06 03:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-05 22:30:00+00:00,40.0,2026-01-06 04:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-05 23:30:00+00:00,41.2,2026-01-06 05:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-06 00:30:00+00:00,40.7,2026-01-06 06:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-06 01:30:00+00:00,40.2,2026-01-06 07:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-06 02:30:00+00:00,40.9,2026-01-06 08:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-06 03:30:00+00:00,40.7,2026-01-06 09:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-06 04:30:00+00:00,41.4,2026-01-06 10:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-06 05:30:00+00:00,39.9,2026-01-06 11:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-06 06:30:00+00:00,40.2,2026-01-06 12:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-06 07:30:00+00:00,40.0,2026-01-06 13:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-06 08:30:00+00:00,41.4,2026-01-06 14:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-06 09:30:00+00:00,39.8,2026-01-06 15:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-06 10:30:00+00:00,40.6,2026-01-06 16:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-06 11:30:00+00:00,41.3,2026-01-06 17:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-06 12:30:00+00:00,41.0,2026-01-06 18:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-06 13:30:00+00:00,40.8,2026-01-06 19:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-06 14:30:00+00:00,39.6,2026-01-06 20:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-06 15:30:00+00:00,40.9,2026-01-06 21:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-06 16:30:00+00:00,40.4,2026-01-06 22:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-06 17:30:00+00:00,41.2,2026-01-06 23:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-06 18:30:00+00:00,39.7,2026-01-07 00:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-06 19:30:00+00:00,41.2,2026-01-07 01:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-06 20:30:00+00:00,40.9,2026-01-07 02:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-06 21:30:00+00:00,40.4,2026-01-07 03:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-06 22:30:00+00:00,41.0,2026-01-07 04:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-06 23:30:00+00:00,40.8,2026-01-07 05:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-07 00:30:00+00:00,40.9,2026-01-07 06:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-07 01:30:00+00:00,39.6,2026-01-07 07:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-07 02:30:00+00:00,40.9,2026-01-07 08:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-07 03:30:00+00:00,39.9,2026-01-07 09:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-07 04:30:00+00:00,40.5,2026-01-07 10:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-07 05:30:00+00:00,41.3,2026-01-07 11:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-07 06:30:00+00:00,40.6,2026-01-07 12:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-07 07:30:00+00:00,40.4,2026-01-07 13:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-07 08:30:00+00:00,39.7,2026-01-07 14:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-07 09:30:00+00:00,40.2,2026-01-07 15:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-07 10:30:00+00:00,40.4,2026-01-07 16:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-07 11:30:00+00:00,41.1,2026-01-07 17:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-07 12:30:00+00:00,39.9,2026-01-07 18:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-07 13:30:00+00:00,41.1,2026-01-07 19:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-07 14:30:00+00:00,41.2,2026-01-07 20:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-07 15:30:00+00:00,40.1,2026-01-07 21:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-07 16:30:00+00:00,40.1,2026-01-07 22:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-07 17:30:00+00:00,40.4,2026-01-07 23:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-07 18:30:00+00:00,40.7,2026-01-08 00:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-07 19:30:00+00:00,40.8,2026-01-08 01:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-07 20:30:00+00:00,41.5,2026-01-08 02:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-07 21:30:00+00:00,41.1,2026-01-08 03:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-07 22:30:00+00:00,41.2,2026-01-08 04:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-07 23:30:00+00:00,40.2,2026-01-08 05:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-08 00:30:00+00:00,40.8,2026-01-08 06:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-08 01:30:00+00:00,41.3,2026-01-08 07:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
3409482,2026-01-08 02:30:00+00:00,40.7,2026-01-08 08:00:00+05:30,19.065931,72.862131,"Bandra Kurla Complex, Mumbai - MPCB",mumbai,False
